Country Name,"Series Name","2017"
Afghanistan,"Government expenditure on education, total (% of GDP)","3.37331008911133"
Afghanistan,"Adolescents out of school (% of lower secondary school age)","NA"
Afghanistan,"Children out of school (% of primary school age)","NA"
Afghanistan,"Gini index (World Bank estimate)","NA"
Afghanistan,"Literacy rate, youth total (% of people ages 15-24)","NA"
Afghanistan,"Literacy rate, adult total (% of people ages 15 and above)","NA"
Afghanistan,"Life expectancy at birth, total (years)","64.13"
Afghanistan,"Population ages 0-14 (% of total population)","43.6825260049196"
Afghanistan,"Population ages 15-64 (% of total population)","53.7632225246819"
Afghanistan,"Population ages 65 and above (% of total population)","2.5542514703985"
Albania,"Government expenditure on education, total (% of GDP)","3.61172008514404"
Albania,"Adolescents out of school (% of lower secondary school age)","6.07263994216919"
Albania,"Children out of school (% of primary school age)","2.22159004211426"
Albania,"Gini index (World Bank estimate)","33.2"
Albania,"Literacy rate, youth total (% of people ages 15-24)","NA"
Albania,"Literacy rate, adult total (% of people ages 15 and above)","NA"
Albania,"Life expectancy at birth, total (years)","78.333"
Albania,"Population ages 0-14 (% of total population)","18.0283124879298"
Albania,"Population ages 15-64 (% of total population)","68.6426142157412"
Albania,"Population ages 65 and above (% of total population)","13.329073296329"
Algeria,"Government expenditure on education, total (% of GDP)","6.50538015365601"
Algeria,"Adolescents out of school (% of lower secondary school age)","NA"
Algeria,"Children out of school (% of primary school age)","0.514630019664764"
Algeria,"Gini index (World Bank estimate)","NA"
Algeria,"Literacy rate, youth total (% of people ages 15-24)","NA"
Algeria,"Literacy rate, adult total (% of people ages 15 and above)","NA"
Algeria,"Life expectancy at birth, total (years)","76.499"
Algeria,"Population ages 0-14 (% of total population)","29.6395901838038"
Algeria,"Population ages 15-64 (% of total population)","64.1832049427207"
Algeria,"Population ages 65 and above (% of total population)","6.17720487347554"
American Samoa,"Government expenditure on education, total (% of GDP)","NA"
American Samoa,"Adolescents out of school (% of lower secondary school age)","NA"
American Samoa,"Children out of school (% of primary school age)","NA"
American Samoa,"Gini index (World Bank estimate)","NA"
American Samoa,"Literacy rate, youth total (% of people ages 15-24)","NA"
American Samoa,"Literacy rate, adult total (% of people ages 15 and above)","NA"
American Samoa,"Life expectancy at birth, total (years)","NA"
American Samoa,"Population ages 0-14 (% of total population)","NA"
American Samoa,"Population ages 15-64 (% of total population)","NA"
American Samoa,"Population ages 65 and above (% of total population)","NA"
Andorra,"Government expenditure on education, total (% of GDP)","3.21708989143372"
Andorra,"Adolescents out of school (% of lower secondary school age)","NA"
Andorra,"Children out of school (% of primary school age)","NA"
Andorra,"Gini index (World Bank estimate)","NA"
Andorra,"Literacy rate, youth total (% of people ages 15-24)","NA"
Andorra,"Literacy rate, adult total (% of people ages 15 and above)","NA"
Andorra,"Life expectancy at birth, total (years)","NA"
Andorra,"Population ages 0-14 (% of total population)","NA"
Andorra,"Population ages 15-64 (% of total population)","NA"
Andorra,"Population ages 65 and above (% of total population)","NA"
