"","COUNTRY","ISO3","CPI_SCORE_2017","CPI_RANK_2017","N_SOURCES_2017","STD_ERROR_2017","ID","WEBNAME","WORLD_RANK","REGION_RANK","HERITAGE_INDEX_2017","PROPERTY_RIGHTS","JUDICAL_EFFECTIVENESS","GOVERNMENT_INTEGRITY","TAX_BURDEN","GOV_SPENDING","FISCAL_HEALTH","BUSINESS_FREEDOM","LABOR_FREEDOM","MONETARY_FREEDOM","TRADE_FREEDOM","INVESTMENT_FREEDOM","FINANCIAL_FREEDOM","TARIFF_RATE_PRCT","INCOME_TAX_RATE_PRCT","CORPORATE_TAX_RATE_PRCT","TAX_BURDEN_OF_GDP","GOV_EXPENDITURE_OF_GDP","POPULATION","GDP_PPP","GDP_GROWTH_RATE_PRCT","FIVE_YEAR_GDP_GROWTH_RATE_PRCT","GDP_PER_CAPITA_PPP","UNEMPLOYMENT_PRCT","INFLATION_PRCT","FDI_INFLOW","PUBLIC_DEBT_PRCT_OF_GDP","GOV_EXPENDITURE_EDUC_PRCT_OF_GDP","TEENS_OUT_OF_SCHOOL_PRCT","CHILDREN_OUT_OF_SCHOOL_PRCT","GINI_INDEX","LITERACY_RATE_YOUTH","LITERACY_RATE_ADULT","LIFE_EXPECTANCY","POP_AGES_0TO14_PRCT","POP_AGES_15TO64_PRCT","POP_AGES_65_AND_ABOVE_PRCT","REGION","GDP_PER_CAPITA_QUANTILE","factor(GDP_PER_CAPITA_QUANTILE)","DUMMY_CPI","DUMMY_CPI_ORDERED","log_GDP_PPP","log_GDP_PER_CAPITA_PPP","team_size","problem1","problem2","problem3","problem4","problem5","problem6","total","rank","gold_medals","silver_medals","bronze_medals","honourable_mentions"
"1","Denmark","DNK",0.88,2,8,2.75,"45","Denmark",18,9,0.7505180722,0.867167085,0.6846546311,0.8491850963,0.372094,0.05730401866,0.954048399,0.939,0.8581577922,0.8548058439,0.8698,0.9,0.8,0.015,0.56,0.235,50.9,55.65932367,5600000,2.587e+11,0.012,0.007,45709.4,0.063,0.005,3641500000,0.456,0.0775243997573853,0.00545499980449677,0.00202209994196892,28.7,99.7508697509766,97.7573928833008,81.1024390243903,0.164916924766681,0.638488146240044,0.196594928993276,"Europe","(4.41e+04,9.9e+04]","(4.41e+04,9.9e+04]",1,3,26.2789349261384,10.7300592450091,6,41,5,0,27,4,0,77,65,0,0,1,5
"2","New Zealand","NZL",0.89,1,8,2.4,"120","NewZealand",3,3,0.837456102,0.9612604882,0.8846153846,0.8986956834,0.707724,0.4649257966,0.9779135465,0.918,0.8616695454,0.9010687793,0.8736,0.8,0.8,0.013,0.33,0.28,32.4,41.94218454,4600000,1.682e+11,0.034,0.025,36171.6,0.059,0.003,-985800000,0.304,0.0625973987579346,0.0195666003227234,0.00382999986410141,27.5,99.9304428100586,97.2022171020508,81.6585365853659,0.197161696406279,0.649543793175464,0.153294510418257,"Asia-Pacific","(1.76e+04,8.53e+04]","(1.76e+04,8.53e+04]",1,3,25.8484195844853,10.4960295595221,6,42,8,0,42,2,0,94,46,0,0,3,3
"3","Finland","FIN",0.85,3,8,2.84,"57","Finland",24,13,0.7398678112,0.9056027165,0.8273809524,0.9003389831,0.666155,0,0.7725382513,0.902,0.5335955502,0.851002281,0.8698,0.85,0.8,0.015,0.318,0.2,43.9,58.466,5500000,2.25e+11,0.004,0,41120,0.096,-0.002,8289600000,0.624,0.0636311006546021,0.00474689990282059,0.0115208995342255,27.4,99.7508697509766,97.7573928833008,81.6317073170732,0.162511650912268,0.624700823080137,0.212787526007594,"Europe","(2.85e+04,4.41e+04]","(2.85e+04,4.41e+04]",1,3,26.1393662391508,10.624249900129,6,40,4,0,10,1,1,56,84,0,0,0,6
"4","Singapore","SGP",0.84,6,9,2.26,"147","Singapore",2,2,0.8858000702,0.9709988066,0.9149659864,0.8791110657,0.904744,0.90106432,0.806978048,0.951,0.9077490371,0.8429895788,0.9,0.85,0.8,0,0.22,0.17,13.4,20.29,5500000,4.719e+11,0.02,0.04,85253.2,0.033,-0.005,65262400000,0.982,0.0276826000213623,0.00064630001783371,0.000308100003749132,27.5,99.9304428100586,97.2022171020508,83.0951219512195,0.122124560773127,0.772076444440396,0.105798994786478,"Asia-Pacific","(1.76e+04,8.53e+04]","(1.76e+04,8.53e+04]",1,3,26.8800329356788,11.3533809310982,6,42,26,0,37,22,4,131,7,2,1,2,1
"5","Sweden","SWE",0.84,6,8,2.27,"157","Sweden",19,10,0.7491320705,0.8856108979,0.8218210361,0.8736065615,0.444371,0.2174543867,0.9339689987,0.908,0.5321890464,0.8527629185,0.8698,0.85,0.8,0.015,0.57,0.22,42.7,49.265,9800000,4.734e+11,0.041,0.02,47922.2,0.074,0.007,12579400000,0.441,0.0756883001327515,0.00801060020923615,0.00275759994983673,28.8,99.7508697509766,97.7573928833008,82.409756097561,0.17495166026983,0.625134176068078,0.199914163662092,"Europe","(4.41e+04,9.9e+04]","(4.41e+04,9.9e+04]",1,3,26.8832065340263,10.7773341415853,6,42,13,0,27,8,1,91,51,0,1,2,3
"6","Switzerland","CHE",0.85,3,7,1.71,"158","Switzerland",4,1,0.8145214811,0.8693010138,0.7762951334,0.803,0.708959,0.6748557435,0.9578139623,0.768,0.7219747987,0.8440581213,0.9,0.85,0.9,0,0.115,0.085,27.1,32.971,8200000,4.823e+11,0.009,0.015,58551.5,0.043,-0.011,6.8838e+10,0.456,0.049515700340271,0.0148403000831604,0.00146380007266998,32.7,99.7508697509766,97.7573928833008,83.5512195121951,0.148724946793942,0.666966381907622,0.184308671298436,"Europe","(4.41e+04,9.9e+04]","(4.41e+04,9.9e+04]",1,3,26.9018321640213,10.9776619878266,6,42,9,0,22,10,0,83,58,0,0,1,5
"7","Norway","NOR",0.85,3,8,1.83,"124","Norway",25,14,0.7397225605,0.8667441746,0.8334641549,0.8833960997,0.556,0.3853239325,0.9843860104,0.895,0.4882210401,0.7575353134,0.8766,0.75,0.6,0.012,0.478,0.25,39.1,47.652,5200000,3.562e+11,0.016,0.017,68430.2,0.042,0.022,-4238600000,0.279,0.0791198015213013,0.00801060020923615,0.000399900004267693,27,99.7508697509766,97.7573928833008,82.609756097561,0.176700981019673,0.654949298815821,0.168349720164506,"Europe","(4.41e+04,9.9e+04]","(4.41e+04,9.9e+04]",1,3,26.598758207802,11.133569526637,6,38,11,0,17,5,0,71,72,0,0,2,3
"8","Netherlands","NLD",0.82,8,8,2.23,"119","Netherlands",15,7,0.75799494,0.8735156615,0.6985871272,0.8573636319,0.532411,0.3697872307,0.8300227842,0.802,0.7048917956,0.8575600494,0.8698,0.9,0.8,0.015,0.52,0.25,36.7,44.85511453,16900000,8.326e+11,0.019,0.006,49165.8,0.061,0.002,72648800000,0.676,0.0517509984970093,0.0185764002799988,0.00971459984779358,28.5,99.7508697509766,97.7573928833008,81.7609756097561,0.163531299843661,0.6485473799459,0.187921320210439,"Europe","(4.41e+04,9.9e+04]","(4.41e+04,9.9e+04]",1,3,27.4478191717073,10.8029535388199,6,41,21,0,39,15,0,116,18,1,2,1,1
"9","Germany","DEU",0.81,12,8,1.87,"62","Germany",26,15,0.7380448813,0.82910546,0.7954604919,0.7773933465,0.61909,0.4135554491,0.8991941995,0.866,0.4283003849,0.8586392436,0.8698,0.8,0.7,0.015,0.45,0.158,36.1,43.95316165,81400000,3.8406e+12,0.015,0.016,46893.2,0.046,0.001,31719300000,0.71,0.0488274002075195,0.0471584987640381,0.00529299974441528,28.8,99.7508697509766,97.7573928833008,80.9926829268293,0.134506883625113,0.65177823589612,0.213714880478767,"Europe","(4.41e+04,9.9e+04]","(4.41e+04,9.9e+04]",1,3,28.9766497203224,10.7556279545834,6,41,16,0,34,15,0,106,33,0,1,3,2
"10","Luxembourg","LUX",0.82,8,6,2.08,"99","Luxembourg",14,6,0.7593921527,0.8577108093,0.7703427525,0.783,0.645,0.4603929573,0.9904995595,0.686,0.4381736584,0.8617860952,0.8698,0.95,0.8,0.015,0.42,0.19,37.8,41.54415221,6e+05,5.57e+10,0.045,0.029,98987.2,0.059,0.001,24595800000,0.218,0.0356959009170532,0.0575457000732422,0.0056809002161026,34.5,99.7508697509766,97.7573928833008,82.0951219512195,0.160651112500211,0.698281833386832,0.141067054112956,"Europe","(4.41e+04,9.9e+04]","(4.41e+04,9.9e+04]",1,3,24.7432459838796,11.5027458278284,6,27,1,0,15,2,0,45,89,0,0,1,1
