period,madv,msales,mes
1,30102,86256,1907m1
2,35154,102281,1907m2
3,51816,102594,1907m3
4,61716,120015,1907m4
5,72576,88248,1907m5
6,69383,98483,1907m6
7,49685,67376,1907m7
8,25450,83172,1907m8
9,26311,85558,1907m9
10,49987,79479,1907m10
11,64285,57096,1907m11
12,71732,45430,1907m12
13,42133,106454,1908m1
14,25122,64891,1908m2
15,38036,98651,1908m3
16,39035,80685,1908m4
17,46337,77482,1908m5
18,48270,69946,1908m6
19,29441,68452,1908m7
20,26499,73151,1908m8
21,40565,66558,1908m9
22,41648,88253,1908m10
23,36644,67171,1908m11
24,36870,58896,1908m12
25,34001,51903,1909m1
26,34389,83192,1909m2
27,45836,104028,1909m3
28,45902,93332,1909m4
29,54647,69432,1909m5
30,55213,69838,1909m6
31,30933,80733,1909m7
32,27870,79461,1909m8
33,32578,95803,1909m9
34,71822,77318,1909m10
35,47567,73754,1909m11
36,48623,54769,1909m12
37,23381,84397,1910m1
38,41216,81311,1910m2
39,62919,94863,1910m3
40,70809,98021,1910m4
41,56163,84024,1910m5
42,50739,75486,1910m6
43,34031,79114,1910m7
44,28201,75139,1910m8
45,29406,82317,1910m9
46,49453,103808,1910m10
47,50476,66182,1910m11
48,46466,51660,1910m12
49,14742,74364,1911m1
50,42036,77719,1911m2
51,49964,93674,1911m3
52,56251,86757,1911m4
53,59019,97546,1911m5
54,57552,76319,1911m6
55,39383,72625,1911m7
56,28288,76636,1911m8
57,32591,86963,1911m9
58,43396,66942,1911m10
59,44606,70383,1911m11
60,56997,49748,1911m12
61,23939,76218,1912m1
62,35101,91620,1912m2
63,49971,101245,1912m3
64,50348,104128,1912m4
65,59133,84654,1912m5
66,59856,76309,1912m6
67,47637,86641,1912m7
68,31977,84607,1912m8
69,31544,93595,1912m9
70,40478,106972,1912m10
71,56642,73928,1912m11
72,62639,72235,1912m12
73,31003,96035,1913m1
74,29314,93163,1913m2
75,41199,104743,1913m3
76,54081,124259,1913m4
77,63129,112295,1913m5
78,50440,97215,1913m6
79,38157,96583,1913m7
80,35549,97808,1913m8
81,28747,100550,1913m9
82,39593,110558,1913m10
83,51457,86103,1913m11
84,62293,65026,1913m12
85,34181,104249,1914m1
86,32956,89895,1914m2
87,43690,100256,1914m3
88,55426,107227,1914m4
89,53593,96616,1914m5
90,71443,91618,1914m6
91,52848,90403,1914m7
92,36541,101200,1914m8
93,28908,75223,1914m9
94,43594,87297,1914m10
95,61754,70476,1914m11
96,63149,74481,1914m12
97,51664,84459,1915m1
98,44848,86835,1915m2
99,59731,97659,1915m3
100,59187,101891,1915m4
101,72200,90848,1915m5
102,62340,92488,1915m6
103,34225,102482,1915m7
104,26999,80405,1915m8
105,36789,89936,1915m9
106,65039,92730,1915m10
107,64427,86996,1915m11
108,31730,80169,1915m12
109,46217,85329,1916m1
110,45684,85877,1916m2
111,62808,114427,1916m3
112,57246,103035,1916m4
113,69582,98516,1916m5
114,18979,98942,1916m6
115,31061,86236,1916m7
116,40531,100139,1916m8
117,36581,91608,1916m9
118,49338,102091,1916m10
119,49415,91369,1916m11
120,2993,96273,1916m12
121,52551,92549,1917m1
122,49199,91153,1917m2
123,60168,125859,1917m3
124,48208,113072,1917m4
125,60427,116591,1917m5
126,52989,100845,1917m6
127,40656,110832,1917m7
128,38858,134374,1917m8
129,46110,110760,1917m9
130,96014,132764,1917m10
131,133280,105204,1917m11
132,73311,95724,1917m12
133,70629,122045,1918m1
134,40651,160912,1918m2
135,54009,182134,1918m3
136,44788,178183,1918m4
137,57434,149645,1918m5
138,56288,144206,1918m6
139,43462,159046,1918m7
140,39606,185900,1918m8
141,50077,216231,1918m9
142,63210,231260,1918m10
143,46561,176273,1918m11
144,46058,74406,1918m12
145,48972,235269,1919m1
146,51969,158311,1919m2
147,74170,202728,1919m3
148,65456,158689,1919m4
149,72450,164618,1919m5
150,54642,161539,1919m6
151,60345,166758,1919m7
152,48214,200300,1919m8
153,122061,223724,1919m9
154,154315,202672,1919m10
155,69673,191658,1919m11
156,40122,156496,1919m12
157,18314,189428,1920m1
158,55691,197547,1920m2
159,55847,268129,1920m3
160,53455,203905,1920m4
161,47768,187868,1920m5
162,33593,164196,1920m6
163,52101,148979,1920m7
164,43310,174532,1920m8
165,133238,167029,1920m9
166,150535,188236,1920m10
167,175014,169370,1920m11
168,47208,143529,1920m12
169,81858,208194,1921m1
170,71888,208881,1921m2
171,123963,239417,1921m3
172,64696,232147,1921m4
173,108368,220359,1921m5
174,37145,186614,1921m6
175,60107,177073,1921m7
176,77594,205486,1921m8
177,123026,231352,1921m9
178,113159,257095,1921m10
179,137452,182484,1921m11
180,16663,164550,1921m12
181,103714,230485,1922m1
182,91909,222557,1922m2
183,142039,259267,1922m3
184,130864,242911,1922m4
185,131684,225876,1922m5
186,103759,220505,1922m6
187,82002,228404,1922m7
188,95985,220550,1922m8
189,149859,249897,1922m9
190,156461,247342,1922m10
191,135280,214149,1922m11
192,36650,164443,1922m12
193,112356,271620,1923m1
194,108201,263125,1923m2
195,126764,304437,1923m3
196,142126,276839,1923m4
197,156484,268865,1923m5
198,110981,255455,1923m6
199,107566,238755,1923m7
200,103538,279503,1923m8
201,152665,264791,1923m9
202,151683,296566,1923m10
203,151754,266837,1923m11
204,57984,198305,1923m12
205,122616,288001,1924m1
206,104054,306768,1924m2
207,173304,337940,1924m3
208,147288,307698,1924m4
209,155400,296633,1924m5
210,125019,269759,1924m6
211,107849,250107,1924m7
212,115332,251008,1924m8
213,151341,277557,1924m9
